Linha;AB/2 (m);MN/2 (m);Rho_aparente (ohm.m);Posicao_X (m);Pseudo-profundidade (m)
SE-01;1,0;0,5;496,619;50,0;0,3333333333333333
SE-01;2,0;0,5;681,871;50,0;0,6666666666666666
SE-01;3,0;0,5;747,814;50,0;1,0
SE-01;4,0;0,5;906,386;50,0;1,3333333333333333
SE-01;5,0;0,5;953,183;50,0;1,6666666666666667
SE-01;6,0;0,5;1079,912;50,0;2,0
SE-01;8,0;0,5;1117,865;50,0;2,6666666666666665
SE-01;10,0;0,5;1123,875;50,0;3,3333333333333335
SE-01;15,0;0,5;1130,106;50,0;5,0
SE-01;15,0;2,5;1178,981;50,0;5,0
SE-01;20,0;2,5;1209,141;50,0;6,666666666666667
SE-01;20,0;0,5;1224,971;50,0;6,666666666666667
SE-01;30,0;2,5;1284,149;50,0;10,0
SE-01;40,0;2,5;1389,005;50,0;13,333333333333334
SE-01;40,0;10,0;1622,451;50,0;13,333333333333334
SE-01;50,0;2,5;1749,686;50,0;16,666666666666668
SE-01;50,0;10,0;1923,323;50,0;16,666666666666668
SE-01;60,0;10,0;2021,223;50,0;20,0
SE-01;80,0;10,0;2117,57;50,0;26,666666666666668
SE-01;100,0;10,0;2173,656;50,0;33,333333333333336
SE-01;150,0;10,0;2223,455;50,0;50,0
SE-01;200,0;50,0;2255,331;50,0;66,66666666666667
SE-01;200,0;10,0;2286,415;50,0;66,66666666666667
SE-01;250,0;10,0;2306,364;50,0;83,33333333333333
SE-02;1,0;0,5;887,5565;100,0;0,3333333333333333
SE-02;2,0;0,5;1011,497;100,0;0,6666666666666666
SE-02;3,0;0,5;932,1865;100,0;1,0
SE-02;4,0;0,5;868,957;100,0;1,3333333333333333
SE-02;5,0;0,5;746,017;100,0;1,6666666666666667
SE-02;6,0;0,5;677,4855;100,0;2,0
SE-02;8,0;0,5;652,2095;100,0;2,6666666666666665
SE-02;10,0;0,5;689,363;100,0;3,3333333333333335
SE-02;15,0;0,5;850,391;100,0;5,0
SE-02;15,0;2,5;788,645;100,0;5,0
SE-02;20,0;0,5;1059,5005;100,0;6,666666666666667
SE-02;20,0;2,5;994,9305;100,0;6,666666666666667
SE-02;30,0;2,5;1301,841;100,0;10,0
SE-02;40,0;2,5;1396,1065;100,0;13,333333333333334
SE-02;40,0;10,0;1339,603;100,0;13,333333333333334
SE-02;50,0;2,5;1452,035;100,0;16,666666666666668
SE-02;50,0;10,0;1413,0885;100,0;16,666666666666668
SE-02;60,0;10,0;8350,218;100,0;20,0
SE-02;80,0;10,0;7759,998;100,0;26,666666666666668
SE-02;100,0;10,0;1081,095;100,0;33,333333333333336
SE-02;150,0;10,0;745,3205;100,0;50,0
SE-02;200,0;10,0;531,0635;100,0;66,66666666666667
SE-02;200,0;50,0;448,4935;100,0;66,66666666666667
SE-02;250,0;10,0;396,154;100,0;83,33333333333333
SE-02;250,0;50,0;325,4515;100,0;83,33333333333333
SE-02;300,0;50,0;252,833;100,0;100,0
SE-03;1,0;0,5;303,3115;150,0;0,3333333333333333
SE-03;2,0;0,5;283,8625;150,0;0,6666666666666666
SE-03;3,0;0,5;342,576;150,0;1,0
SE-03;4,0;0,5;339,453;150,0;1,3333333333333333
SE-03;5,0;0,5;381,297;150,0;1,6666666666666667
SE-03;6,0;0,5;423,74;150,0;2,0
SE-03;8,0;0,5;488,0265;150,0;2,6666666666666665
SE-03;10,0;0,5;547,456;150,0;3,3333333333333335
SE-03;15,0;0,5;653,2975;150,0;5,0
SE-03;15,0;2,5;723,9285;150,0;5,0
SE-03;20,0;0,5;757,264;150,0;6,666666666666667
SE-03;20,0;2,5;834,3355;150,0;6,666666666666667
SE-03;30,0;2,5;1088,1815;150,0;10,0
SE-03;40,0;2,5;1289,7765;150,0;13,333333333333334
SE-03;40,0;10,0;1188,6115;150,0;13,333333333333334
SE-03;50,0;2,5;1314,8245;150,0;16,666666666666668
SE-03;50,0;10,0;1236,469;150,0;16,666666666666668
SE-03;60,0;10,0;7241,628;150,0;20,0
SE-03;80,0;10,0;6547,671;150,0;26,666666666666668
SE-03;100,0;10,0;882,1205;150,0;33,333333333333336
SE-03;150,0;10,0;461,4965;150,0;50,0
SE-03;200,0;10,0;340,9355;150,0;66,66666666666667
SE-03;200,0;50,0;518,852;150,0;66,66666666666667
SE-03;250,0;10,0;246,707;150,0;83,33333333333333
SE-03;250,0;50,0;400,8615;150,0;83,33333333333333
SE-03;300,0;50,0;336,0595;150,0;100,0
